STN Code,Sampling Date,Month,Sampling Time,Stn Name,Type Water Body,Name Of Water Body,River Basin,District,State Name,Mon Agency,Frequency,Major Polluting Sources,Use Based Class, Use of Water in Down Stream, Visibility Effluent Discharge,Weather,Approx Depth,Human Activities,Floating Matter,Color,Odor,Flow,Temperature,Dissolved O2,pH,Conductivity,BOD,Nitrate N,Fecal Coliform,Total Coliform,Fecal Streptococci,Turbidity,Phenophelene Alkanity,Total Alkalinity,Chlorides,COD,Total Kjeldahl N,Amonia N,Hardness CaCo3,Calcium CaCo3,Magnesium CaCo3,Sulphate,Sodium,Total Dissolved Solids,Total Fixed Solids,Total Suspended Solids,Phosphate,Boron,Potassium,Flouride,Remark,latitude,longitude
1312,09-04-2025,Sep,13:30:00,"Godavari river at Jaikwadi Dam, Village. Paithan, Taluka. Paithan, District.Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),NA,Industrial,Clear,Greater than 100cm,Others,No,Clear,None,1,28,6.5,8.3,547,3.6,0.92,1.8(BDL),17,1.8(BDL),1.1,6,142,53.98,16,2.8,0.98,80,46,34,97.56,49.87,448,404,15,0.4,0.5(BDL),2.94,0.77,NA,19°29.263',75°22.272'
2158,09-04-2025,Sep,14:00:00,"Godavari river at U/s of Paithan at Paithan intake pump house, Village. Jayakwadi, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),NA,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3,28,6.5,8.3,549,3.6,0.82,1.8(BDL),20,1.8(BDL),1.06,6,140,55.98,16,1.68,0.41,100,44,54,55.06,55.51,459,414,14,0.5,0.55,3.01,0.42,NA,19°30.887’,75°22.457’
2159,09-04-2025,Sep,14:30:00,"Godavari river at D/s of Paithan at Pathegaon bridge, Village. Pathegaon, Taluka. Paithan, District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),NA,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3,28,6.8,8.3,547,3.2,0.75,1.8(BDL),25,1.8(BDL),1.05,5(BDL),142,26.99,12,2.24,0.43,86,40,42,102.04,54.27,449,405,12,0.62,0.51,2.92,0.24,NA,19°28.835’,75°23.835’
2160,09-04-2025,Sep,12:15:00,"Godavari river at U/s of Aurangabad Reservoir,Kaigaon Tokka near Kaigaon bridge,Village. Kaigaon,Taluka. Gangapur,District. Ch. Sambhaji Nagar.",River,Godavari,Godavari,Ch. Sambhaji Nagar,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),NA,Industrial,Clear,Greater than 100cm,Others,No,Clear,Odor Free,3,28,6.9,8.3,547,3.2,0.99,1.8(BDL),21,1.8(BDL),1.12,6,138,53.98,12,1.68,0.4,100,44,54,77.5,53.72,451,406,12,0.29,0.57,2.89,0.32,NA,19°37.463’,75°01.490’
2161,09-03-2025,Sep,17:00:00,"Godavari river at Jalna Intake water pump house, Village. Shahabad, Taluka. Ambad, District. Jalna.",River,Godavari,Godavari,Jalna,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),NA,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,2.5,25,6,8.4,348,3.6,0.74,1.8(BDL),35,1.8(BDL),1.2,5(BDL),136,13,16,2.8,0.43,82,42,40,21.36,19.96,284,256,11,0.4,0.51,1.34,0.2(BDL),NA,19°21.392’,75°42.870’
2657,09-03-2025,Sep,15:00:00,"Bindusara river at Beed, near intake water pump house at Dam, Village. Paligaon, Taluka. Beed, District. Beed.",River,Bindusara,Bindusara,Beed,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),NA,Industrial,Clear,Less than 50cm,Others,Yes,Clear,None,1.5,24,6.6,8.4,352,3.2,1.1,1.8(BDL),21,1.8(BDL),1(BDL),6,140,12,12,1.68,0.43,80,40,40,33.12,20.59,288,260,13,0.29,0.5(BDL),1.27,0.3,NA,18° 54.922’,75° 44.236’
2157,09-02-2025,Sep,08:00:00,"Godavari river at Latur water intake near Pump house. Village. Dhamegaon, Taluka. Kalumb, District. Dharashiv",River,Godavari,Godavari,Latur,Maharashtra,Maharashtra PCB,Monthly,None,A (Drinking Water source without conventional treatment but after disinfection),NA,None,Cloudy,Greater than 100cm,Fishing,Yes,Light Brown,None,1,19,6.4,8.3,449,4.2,1.28,1.8(BDL),30,1.8(BDL),1.1,5(BDL),140,41.99,20,1.68,0.59,80,40,40,96.52,34.48,372,335,14,0.29,0.53,3.39,0.66,NA,18°33.243’,76°08.899’
2673,09-02-2025,Sep,07:30:00,"Manjra river at D/s of Latur, near Latur. Nanded bridge, Village. Bhatkheda, Taluka. Latur, District. Latur.",River,Manjara,Manjara,Latur,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),NA,Industrial,Clear,Less than 50cm,"Bathing,Fishing",Yes,Clear,None,0,18,5.8,8.3,471,3.8,1,1.8(BDL),25,NA,1.01,6,142,39.99,16,2.24,0.51,100,42,58,56.44,38.22,396,357,18,0.21,0.56,3.1,0.96,NA,18° 25.826’,76° 40.253’
1209,09-05-2025,Sep,11:30:00,"Godavari river at Raher, Village.Raher, Taluka. Nayagaon, District. Nanded.",River,Godavari,Godavari,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),NA,Industrial,Clear,Less than 50cm,Fishing,Yes,Clear,None,0,32,6,8.1,721,3.8,3.2,1.8(BDL),21,1.8(BDL),1.03,6,100,54.98,16,4.48,0.41,148,64,84,63.3,46.8,353,318,10(BDL),0.77,0.53,3.24,0.89,NA,18°53.781’,77°40.660’
1210,09-03-2025,Sep,10:15:00,"Godavari river near Intake water pump house, Village. Vishnupuri, Taluka. Nanded, District. Nanded.",River,Godavari,Godavari,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),NA,Industrial,Clear,Less than 50cm,"Fishing,Boating,Tourism Spot",Yes,Clear,None,0,22,5.9,8.2,504,4,1.68,1.8(BDL),25,1.8(BDL),1.1,6,136,43.99,20,3.36,1.1,80,40,40,72.84,39.49,423,381,12,0.29,0.58,2.96,0.94,NA,19°07.611’,77°16.763’
5992,09-03-2025,Sep,11:15:00,"Asna River, Dist- Nanded",River,NA,NA,Nanded,Maharashtra,Maharashtra PCB,Monthly,Industrial Effluent,A (Drinking Water source without conventional treatment but after disinfection),NA,Industrial,Clear,Less than 50cm,"Washing,Idol Emersion Wading",Yes,Clear,None,0,23,4.5,8.2,581,5.8,4,1.8(BDL),17,1.8(BDL),1.21,5(BDL),140,32.99,24,2.24,0.91,124,60,64,65.1,38.33,485,437,16,0.32,0.66,2.61,0.98,NA,19.175556,77.350556
12,09-09-2025,Sep,17:00:00,"Godavari river at Dhalegaon, Village. Dhalegaon, Taluka. Pathari,  District. Parbhani.",River,Godavari,Godavari,Parbhani,Maharashtra,Maharashtra PCB,Monthly,None,"E (Irrigation, industrial cooling and controlled waste)",NA,None,Clear,Greater than 100cm,Cultivation,Yes,Clear,None,0,18,7.6,8.4,418,2.2,1.46,1.8(BDL),17,1.8(BDL),1.02,6,136,28.99,8,1.68,0.61,80,42,38,56.84,44.12,354,319,12,0.27,0.5(BDL),3.86,0.55,NA,19°13.524’,76°21.854’
